what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1700235119342
ws,sysinfo,,,"win32",1700235119342
locale,sysinfo,,,"es_MX",1700235119342
processors,sysinfo,,,"12",1700235119342
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1700235119342
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1700235119342
java.specification.name,sysinfo,,,"Java Platform API Specification",1700235119342
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1700235119342
java.specification.version,sysinfo,,,"1.6",1700235119342
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1700235119342
java.version,sysinfo,,,"1.6.0_23",1700235119342
java.vm.info,sysinfo,,,"mixed mode",1700235119342
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1700235119342
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1700235119342
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1700235119342
java.vm.specification.version,sysinfo,,,"1.0",1700235119342
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1700235119342
java.vm.version,sysinfo,,,"19.0-b09",1700235119342
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1700235122295
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1700235125691
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1700235127090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1700235130602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1700235131485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700235148767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700235202919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700235206308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236374817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1700236381362
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1700236382048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236385081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236725400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236730838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236785827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236813532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236815284
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1700236815726
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700236815839
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1700236816155
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1700236816155
